neg,neu,pos,compound
0.022,0.939,0.038,0.6369
0.057,0.895,0.048,-0.2023
0.17,0.799,0.031,-0.9804
0.085,0.875,0.04,-0.8572
0.028,0.783,0.19,0.904
0.069,0.842,0.088,0.2263
0.065,0.901,0.034,-0.8934
0.148,0.831,0.021,-0.9741
0.088,0.894,0.019,-0.7777
0.139,0.792,0.069,-0.7893
0.119,0.881,0.0,-0.7783
0.202,0.788,0.011,-0.9578
0.142,0.832,0.026,-0.9022
0.012,0.757,0.231,0.985
0.056,0.773,0.172,0.9599
0.042,0.94,0.017,-0.7335
0.082,0.87,0.048,-0.3523
0.116,0.83,0.053,-0.8059
0.025,0.809,0.166,0.9713
0.062,0.842,0.096,0.7783
0.057,0.879,0.063,-0.0
0.101,0.84,0.06,-0.8731
0.143,0.763,0.094,-0.9365
0.019,0.917,0.064,0.9033
0.062,0.801,0.137,0.7456
0.058,0.842,0.099,0.9397
0.073,0.708,0.219,0.9715
0.045,0.864,0.091,0.7176
0.058,0.887,0.055,-0.3272
0.256,0.688,0.056,-0.9618
0.259,0.696,0.046,-0.9744
0.074,0.814,0.113,0.3626
0.189,0.755,0.056,-0.7717
0.08,0.835,0.085,0.4215
0.27,0.679,0.051,-0.8918
0.068,0.754,0.178,0.9784
0.0,0.573,0.427,0.9467
0.053,0.652,0.296,0.985
0.01,0.788,0.203,0.9874
0.119,0.865,0.016,-0.8555
0.092,0.841,0.067,-0.4512
0.178,0.822,0.0,-0.8384
0.026,0.792,0.182,0.9663
0.018,0.955,0.027,0.0
0.205,0.734,0.061,-0.9573
0.061,0.926,0.013,-0.7717
0.107,0.841,0.052,-0.1655
0.111,0.866,0.023,-0.8103
0.083,0.868,0.049,-0.2244
0.154,0.736,0.109,-0.6155
0.089,0.871,0.039,-0.563
0.0,0.748,0.252,0.9702
0.039,0.728,0.233,0.9884
0.077,0.923,0.0,-0.5994
0.205,0.666,0.129,-0.8852
0.099,0.877,0.024,-0.7605
0.029,0.916,0.056,0.6249
0.056,0.862,0.083,0.9295
0.118,0.782,0.1,-0.8922
0.0,0.912,0.088,0.6956
0.025,0.762,0.213,0.9874
0.0,0.85,0.15,0.9416
0.055,0.785,0.16,0.8555
0.088,0.822,0.09,0.34
0.083,0.917,0.0,-0.807
0.051,0.804,0.145,0.9902
0.0,0.835,0.165,0.935
0.09,0.91,0.0,-0.6381
0.054,0.913,0.033,-0.487
0.072,0.819,0.11,0.8201
0.042,0.548,0.411,0.9505
0.019,0.951,0.03,0.4404
0.0,0.972,0.028,0.4215
0.13,0.778,0.092,-0.7485
0.011,0.744,0.245,0.9845
0.018,0.836,0.146,0.9827
0.276,0.673,0.051,-0.9136
0.107,0.893,0.0,-0.6187
0.0,0.738,0.262,0.9911
0.0,0.846,0.154,0.969
0.055,0.853,0.092,0.9033
0.045,0.754,0.201,0.9945
0.093,0.827,0.08,-0.1189
0.08,0.841,0.079,-0.0247
0.029,0.892,0.08,0.7906
0.096,0.809,0.095,0.1804
0.145,0.813,0.042,-0.8988
0.09,0.889,0.021,-0.6808
0.073,0.804,0.123,0.9294
0.166,0.791,0.043,-0.7652
0.151,0.802,0.047,-0.8271
0.071,0.79,0.139,0.9714
0.045,0.85,0.106,0.5571
0.021,0.712,0.267,0.9517
0.121,0.586,0.293,0.8428
0.036,0.73,0.235,0.9432
0.138,0.809,0.053,-0.4896
0.065,0.914,0.021,-0.8113
0.085,0.868,0.048,-0.5983
0.026,0.903,0.071,0.5452
0.081,0.869,0.05,-0.3506
0.176,0.776,0.048,-0.7717
0.301,0.605,0.095,-0.8486
0.03,0.767,0.203,0.9744
0.203,0.68,0.117,-0.773
0.039,0.717,0.244,0.9904
0.1,0.839,0.061,-0.8537
0.058,0.863,0.079,0.2617
0.074,0.833,0.092,0.25
0.108,0.795,0.097,-0.447
